run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,4000; 19,6800; 33,8100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 54,1500; 19,2200; 35,3800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,9900; 68,6300; 78,9700
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 82,3700; 37,3300; 49,6200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 72,8600; 33,6400; 46,3200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 86,2300; 48,9600; 61,4100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 55,7400; 19,3700; 33,5600
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 52,5800; 17,7800; 32,2100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,5400; 66,7600; 76,7800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 77,5300; 35,9000; 46,1800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 70,8700; 31,9500; 42,7200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 82,3200; 49,6600; 60,9900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 58,2100; 18,9500; 29,3500
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,9100; 17,8800; 29,0000
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,4700; 64,2600; 73,8200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 79,7500; 35,7400; 46,8200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 71,6100; 32,0800; 43,5800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 83,3600; 44,7300; 54,4500
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 57,8100; 20,3000; 33,4900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 54,4300; 19,3600; 33,9000
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,8100; 65,2600; 74,2300
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 76,1900; 34,5800; 48,6800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 69,1900; 29,2000; 41,6800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 80,9800; 45,2300; 58,5700
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 57,6200; 20,7400; 32,8800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 53,1800; 18,5800; 32,9800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 93,4300; 61,7000; 72,4600
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 86,3100; 37,1700; 46,4900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 79,3700; 34,4000; 45,0400
